Country,"Country Code","Time","Time Code","Core CPI,not seas.adj,,, [CORENS]","Core CPI,seas.adj,,, [CORESA]","CPI Price, % y-o-y, median weighted, seas. adj., [CPTOTSAXMZGY]","CPI Price, % y-o-y, not seas. adj.,, [CPTOTSAXNZGY]","CPI Price, seas. adj.,,, [CPTOTSAXN]","CPI Price,not seas.adj,,, [CPTOTNSXN]","Exchange rate, new LCU per USD extended backward, period average,, [DPANUSSPB]","Exchange rate, old LCU per USD extended forward, period average,, [DPANUSSPF]","Exports Merchandise, Customs, constant US$, millions, not seas. adj. [DXGSRMRCHNSKD]","Exports Merchandise, Customs, constant US$, millions, seas. adj. [DXGSRMRCHSAKD]","Exports Merchandise, Customs, current US$, millions, not seas. adj. [DXGSRMRCHNSCD]","Exports Merchandise, Customs, current US$, millions, seas. adj. [DXGSRMRCHSACD]","Exports Merchandise, Customs, Price, US$, not seas. adj. [DXGSRMRCHNSXD]","Exports Merchandise, Customs, Price, US$, seas. adj. [DXGSRMRCHSAXD]","GDP,constant 2010 LCU,millions,seas. adj., [NYGDPMKTPSAKN]","GDP,constant 2010 US$,millions,seas. adj., [NYGDPMKTPSAKD]","GDP,current LCU,millions,seas. adj., [NYGDPMKTPSACN]","GDP,current US$,millions,seas. adj., [NYGDPMKTPSACD]","Imports Merchandise, Customs, constant US$, millions, not seas. adj. [DMGSRMRCHNSKD]","Imports Merchandise, Customs, constant US$, millions, seas. adj. [DMGSRMRCHSAKD]","Imports Merchandise, Customs, current US$, millions, not seas. adj. [DMGSRMRCHNSCD]","Imports Merchandise, Customs, current US$, millions, seas. adj. [DMGSRMRCHSACD]","Imports Merchandise, Customs, Price, US$, not seas. adj. [DMGSRMRCHNSXD]","Imports Merchandise, Customs, Price, US$, seas. adj. [DMGSRMRCHSAXD]","Industrial Production, constant US$, seas. adj.,, [IPTOTSAKD]","Industrial Production, constant US$,,, [IPTOTNSKD]","J.P. Morgan Emerging Markets Bond Index(EMBI+),,,, [EMBIGI]","J.P. Morgan Emerging Markets Bond Spread (EMBI+),,,, [EMBIG]","Months Import Cover of Foreign Reserves,,,, [IMPCOV]","Nominal Effecive Exchange Rate,,,, [NEER]","Official exchange rate, LCU per USD, period average,, [DPANUSLCU]","Real Effective Exchange Rate,,,, [REER]","Retail Sales Volume,Index,,, [RETSALESSA]","Stock Markets, LCU,,, [DSTKMKTXN]","Stock Markets, US$,,, [DSTKMKTXD]","Terms of Trade,,,, [TOT]","Total Reserves,,,, [TOTRESV]","Unemployment rate,Percent,,, [UNEMPSA_]"
Macedonia FYR,"MKD","2016M04","2016M04","108.89266780034","NA","NA","-0.52733015825","110.4658744804","110.31489705289","54.37776666667","54.37776666667","NA","NA","319.92","317.76501691426","NA","NA","NA","NA","NA","NA","NA","NA","571.98074074074","565.93194561815","NA","NA","182898454.724753","236921380.582453","NA","NA","0.07129043287","102.50662488842","54.37776666667","100.99469068377","NA","63.36304069123","50.31346565358","NA","40.34553337669","24.04585065017"
Macedonia FYR,"MKD","2016M05","2016M05","108.93267980394","NA","NA","-0.61416001042","110.58694867344","110.87000403714","54.58127272727","54.58127272727","NA","NA","312.17","297.90097469447","NA","NA","NA","NA","NA","NA","NA","NA","589.81407407407","571.86955833189","NA","NA","184260107.467012","232618065.899825","NA","NA","0.06934208373","102.57193401147","54.58127272727","101.43358325357","NA","62.62520343289","49.56834686833","NA","39.65462679507","23.93513833227"
Macedonia FYR,"MKD","2016M06","2016M06","109.28278483545","NA","NA","-0.64640857161","110.63979090982","110.87000403714","54.76418181818","54.76418181818","NA","NA","299.33","293.60181621044","NA","NA","NA","NA","NA","NA","NA","NA","596.56518518519","575.7707448328","NA","NA","180057336.013573","232139919.823977","NA","NA","0.06846462147","101.15875185079","54.76418181818","99.95355070733","NA","61.95409811955","48.8215856202","NA","39.41992609635","23.89442646913"
Macedonia FYR,"MKD","2016M07","2016M07","109.42282684805","NA","NA","-0.3502859255","110.8625227208","110.50666128381","55.66423809524","55.66423809524","NA","NA","326.95","320.00843389675","NA","NA","NA","NA","NA","NA","NA","NA","572.46024691358","578.7746457985","NA","NA","184175152.393182","247201521.213174","NA","NA","0.08033634442","102.62534307506","55.66423809524","100.90528215287","NA","65.07976135621","50.45605981255","NA","46.4966392888","23.5512449345"
Macedonia FYR,"MKD","2016M08","2016M08","109.59287786336","NA","NA","-0.3371514322","110.74784446837","110.3855470327","54.88773913043","54.88773913043","NA","NA","316.98","330.27048953753","NA","NA","NA","NA","NA","NA","NA","NA","571.87728395062","577.74862436556","NA","NA","193843969.203124","239790257.037538","NA","NA","0.08440520156","102.93056028246","54.88773913043","100.91968437782","NA","68.49869523365","53.86532816678","NA","48.76498909236","23.48430530833"
Macedonia FYR,"MKD","2016M09","2016M09","109.47284185256","NA","NA","0.08877075929","110.8958140875","110.59749697214","54.88163636364","54.88163636364","NA","NA","354.23","316.99190133494","NA","NA","NA","NA","NA","NA","NA","NA","575.0424691358","573.83182121159","NA","NA","198269082.35202","252461128.047497","NA","NA","0.08570204888","102.95833708829","54.88163636364","101.11366401835","NA","70.35880034089","55.33489334053","NA","49.17856279133","23.40192932156"
Macedonia FYR,"MKD","2016M10","2016M10","109.60288086426","NA","NA","0.09360233523","110.77454218753","110.61768268066","55.87053463203","55.87053463203","NA","NA","348.88","313.99576912894","NA","NA","NA","NA","NA","NA","NA","NA","581.95580246914","567.02423633659","NA","NA","190150334.774692","250787616.782031","NA","NA","0.08614282025","103.07135363052","55.87053463203","100.97814934136","NA","72.15345763811","55.7574978799","NA","48.84506686706","23.24107347907"
Macedonia FYR,"MKD","2016M11","2016M11","109.66289886966","NA","NA","-0.23508225157","110.53822914023","110.35526846992","57.28539876033","57.28539876033","NA","NA","304.03","294.56636149425","NA","NA","NA","NA","NA","NA","NA","NA","592.61728395062","557.32586974056","NA","NA","187215774.660863","256047223.616354","NA","NA","0.07991446718","103.11527254342","57.28539876033","100.68834499272","NA","77.79122364083","58.63397898663","NA","44.53839992761","23.18410872619"
Macedonia FYR,"MKD","2016M12","2016M12","109.68290487146","NA","NA","-0.22840500466","110.52479527201","110.24424707307","58.44763636364","58.44763636364","NA","NA","331.41","334.76816364136","NA","NA","NA","NA","NA","NA","NA","NA","607.02691358025","544.7367214235","NA","NA","196802877.461855","261306830.450677","NA","NA","0.08208282242","NA","58.44763636364","NA","NA","78.11437050577","57.67884671365","NA","44.71352757091","23.07487792056"
Macedonia FYR,"MKD","2016Q1","2016Q1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","836.12","928.61199073147","NA","NA","106920.769091431","2746.80884925542","151918.871652807","2719.61505382621","NA","NA","1498.12","1641.80589844374","0.97880469401","0.97880469401","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
